iter	Passed	Remaining
0	181	545465
1	223	334752
2	264	264508
3	309	231719
4	351	210579
5	391	195423
6	440	188141
7	478	178856
8	519	172670
9	560	167491
10	601	163546
11	650	162035
12	710	163304
13	769	164189
14	810	161259
15	854	159378
16	897	157458
17	940	155846
18	980	153781
19	1018	151810
20	1057	150081
21	1096	148448
22	1139	147496
23	1177	146064
24	1220	145223
25	1263	144488
26	1308	144082
27	1350	143342
28	1388	142218
29	1431	141721
30	1466	140413
31	1503	139446
32	1545	138992
33	1579	137779
34	1617	136990
35	1652	136046
36	1687	135099
37	1724	134409
38	1758	133518
39	1792	132676
40	1828	131953
41	1862	131153
42	1897	130465
43	1933	129864
44	1968	129259
45	2005	128791
46	2039	128110
47	2073	127502
48	2108	126974
49	2142	126417
50	2186	126423
51	2225	126154
52	2263	125885
53	2303	125690
54	2342	125444
55	2387	125506
56	2423	125145
57	2457	124657
58	2493	124269
59	2527	123857
60	2562	123442
61	2598	123153
62	2634	122822
63	2669	122474
64	2703	122089
65	2737	121691
66	2771	121331
67	2805	120973
68	2838	120573
69	2872	120249
70	2905	119851
71	2939	119520
72	2974	119246
73	3007	118934
74	3041	118614
75	3075	118343
76	3110	118090
77	3145	117834
78	3180	117586
79	3216	117388
80	3250	117153
81	3286	116960
82	3320	116698
83	3357	116550
84	3397	116528
85	3435	116395
86	3471	116243
87	3505	115988
88	3541	115821
89	3575	115592
90	3610	115403
91	3648	115324
92	3682	115109
93	3717	114912
94	3751	114722
95	3785	114496
96	3822	114387
97	3856	114212
98	3891	114023
99	3928	113923
100	3965	113813
101	4001	113698
102	4038	113578
103	4075	113482
104	4108	113281
105	4153	113407
106	4186	113198
107	4223	113106
108	4258	112959
109	4291	112749
110	4326	112599
111	4358	112396
112	4391	112206
113	4429	112129
114	4464	112000
115	4502	111951
116	4542	111943
117	4580	111860
118	4620	111853
119	4656	111763
120	4691	111629
121	4726	111497
122	4761	111366
123	4795	111235
124	4831	111113
125	4865	110983
126	4902	110895
127	4939	110828
128	4975	110740
129	5009	110601
130	5043	110451
131	5079	110355
132	5113	110218
133	5146	110072
134	5180	109944
135	5213	109795
136	5249	109695
137	5283	109565
138	5317	109448
139	5351	109324
140	5386	109217
141	5420	109101
142	5455	108998
143	5492	108928
144	5528	108848
145	5565	108795
146	5605	108789
147	5640	108686
148	5676	108622
149	5712	108529
150	5747	108441
151	5781	108333
152	5816	108230
153	5852	108150
154	5885	108023
155	5918	107905
156	5953	107800
157	5988	107725
158	6023	107627
159	6059	107563
160	6098	107532
161	6138	107539
162	6174	107462
163	6208	107356
164	6258	107530
165	6294	107454
166	6329	107369
167	6365	107309
168	6401	107232
169	6435	107138
170	6469	107025
171	6505	106954
172	6542	106912
173	6580	106882
174	6620	106865
175	6659	106848
176	6693	106760
177	6729	106684
178	6763	106593
179	6799	106521
180	6835	106454
181	6875	106452
182	6912	106408
183	6945	106299
184	6980	106222
185	7015	106131
186	7051	106073
187	7084	105964
188	7118	105878
189	7152	105778
190	7186	105691
191	7222	105636
192	7256	105545
193	7293	105497
194	7328	105411
195	7364	105357
196	7407	105397
197	7444	105353
198	7479	105276
199	7513	105188
200	7549	105130
201	7588	105107
202	7623	105038
203	7661	105011
204	7699	104970
205	7739	104966
206	7772	104879
207	7807	104797
208	7841	104719
209	7879	104685
210	7915	104625
211	7952	104577
212	7991	104567
213	8026	104496
214	8065	104478
215	8099	104394
216	8134	104330
217	8172	104295
218	8206	104213
219	8240	104126
220	8280	104126
221	8317	104083
222	8351	104004
223	8392	104012
224	8426	103932
225	8466	103924
226	8501	103852
227	8542	103854
228	8580	103832
229	8614	103744
230	8648	103667
231	8682	103596
232	8717	103519
233	8757	103517
234	8798	103524
235	8835	103483
236	8870	103410
237	8908	103388
238	8944	103335
239	8982	103301
240	9020	103266
241	9057	103226
242	9095	103197
243	9134	103177
244	9171	103129
245	9213	103145
246	9252	103121
247	9287	103062
248	9323	103004
249	9358	102945
250	9394	102887
251	9428	102817
252	9461	102728
253	9497	102680
254	9536	102653
255	9570	102583
256	9604	102509
257	9636	102421
258	9672	102361
259	9709	102327
260	9744	102260
261	9777	102178
262	9813	102127
263	9855	102134
264	9892	102101
265	9934	102105
266	9970	102053
267	10008	102025
268	10041	101941
269	10073	101856
270	10109	101808
271	10148	101783
272	10182	101712
273	10215	101634
274	10252	101591
275	10288	101539
276	10327	101521
277	10368	101522
278	10402	101455
279	10438	101400
280	10474	101355
281	10509	101292
282	10544	101232
283	10578	101162
284	10614	101113
285	10649	101058
286	10687	101032
287	10738	101125
288	10775	101085
289	10814	101057
290	10850	101013
291	10886	100965
292	10923	100922
293	10962	100897
294	11003	100897
295	11040	100858
296	11082	100864
297	11119	100825
298	11161	100824
299	11198	100788
300	11240	100791
301	11280	100781
302	11320	100765
303	11358	100728
304	11396	100696
305	11433	100655
306	11467	100594
307	11501	100525
308	11536	100471
309	11572	100415
310	11610	100384
311	11645	100334
312	11684	100306
313	11719	100249
314	11757	100214
315	11790	100148
316	11828	100115
317	11864	100063
318	11903	100039
319	11944	100034
320	11983	100009
321	12021	99982
322	12059	99949
323	12098	99926
324	12137	99899
325	12176	99873
326	12209	99805
327	12242	99735
328	12278	99685
329	12314	99633
330	12347	99564
331	12380	99492
332	12420	99473
333	12453	99401
334	12486	99331
335	12529	99342
336	12566	99302
337	12603	99259
338	12644	99257
339	12682	99221
340	12727	99244
341	12766	99218
342	12806	99201
343	12846	99187
344	12885	99159
345	12924	99134
346	12963	99115
347	13008	99131
348	13048	99113
349	13089	99102
350	13123	99041
351	13158	98988
352	13195	98945
353	13229	98883
354	13268	98857
355	13301	98787
356	13342	98780
357	13381	98753
358	13424	98758
359	13460	98710
360	13494	98647
361	13528	98588
362	13564	98541
363	13601	98501
364	13637	98448
365	13679	98449
366	13721	98441
367	13759	98408
368	13792	98341
369	13825	98274
370	13861	98224
371	13897	98176
372	13936	98150
373	13969	98086
374	14003	98027
375	14038	97971
376	14074	97923
377	14111	97884
378	14152	97871
379	14190	97839
380	14229	97811
381	14267	97782
382	14306	97757
383	14346	97738
384	14385	97709
385	14427	97706
386	14464	97661
387	14499	97610
388	14539	97592
389	14572	97523
390	14608	97478
391	14643	97424
392	14678	97368
393	14713	97319
394	14751	97287
395	14789	97252
396	14824	97200
397	14866	97192
398	14903	97155
399	14943	97135
400	14982	97104
401	15022	97087
402	15058	97041
403	15097	97010
404	15138	97000
405	15179	96986
406	15218	96958
407	15255	96917
408	15307	96973
409	15343	96922
410	15386	96922
411	15424	96891
412	15463	96859
413	15502	96836
414	15543	96819
415	15579	96771
416	15613	96712
417	15650	96676
418	15689	96643
419	15723	96586
420	15760	96545
